ID,best_alpha,best_l1,df_shape,feature 1,feature 2,feature names,feature nr,meodel_complexity,method,random_state,real_test_mae,real_test_mse,real_train_mae,real_train_mse,test_mae,test_mse,train_mae,train_mse
107,,,"(1652, 1)",Overall Cond,,Overall Cond,1,1,lr_sgd,0,55990.30992736077,6201498672.1549635,56088.009079903146,6764795546.741526,0.31971854449841136,0.18402870840962918,0.3090550723769823,0.16171289000544772
108,1623.776739188721,,"(1652, 1)",Overall Cond,,Overall Cond,1,1,ridgeCV,0,56504.1598062954,6275714583.476997,56367.872276029055,6809535651.952179,0.3229151687172015,0.1847122614404797,0.3108210069644663,0.16165891234166568
109,10000.0,,"(1652, 1)",Overall Cond,,Overall Cond,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
110,10000.0,0.01,"(1652, 1)",Overall Cond,,Overall Cond,1,1,elasticCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
111,,,"(1652, 1)",Year Built,,Year Built,1,1,lr,0,43191.91767554479,3717442932.8474574,43845.38559322034,4578513447.878329,0.24588711458349322,0.10942470256156739,0.23830033065850406,0.10131832204763012
112,,,"(1652, 1)",Year Built,,Year Built,1,1,huber,0,43251.372881355936,3884682409.8280873,43610.462469733655,4738826391.817191,0.24594043091306642,0.11006166850285853,0.23659217632993648,0.10216132066776584
113,,,"(1652, 1)",Year Built,,Year Built,1,1,lr_sgd,0,43205.820823244554,3704206341.719128,43863.71428571428,4567338581.790557,0.24604145004487338,0.10935718342331492,0.23846546903892513,0.10132290488526184
114,3.79269019073225,,"(1652, 1)",Year Built,,Year Built,1,1,ridgeCV,0,43192.46731234867,3720195374.254237,43846.68401937046,4580604061.033898,0.24586448163801283,0.10945625168423713,0.23828973249845573,0.1013186396517499
115,0.1,,"(1652, 1)",Year Built,,Year Built,1,1,lassoCV,0,45561.39467312349,4433026272.096852,46093.10411622276,5169659454.153753,0.2572971220587101,0.12524279265302585,0.24954103321967613,0.11131832204763013
116,0.1,0.01,"(1652, 1)",Year Built,,Year Built,1,1,elasticCV,0,43364.266343825664,3842374138.8910413,44008.52602905569,4675778471.914649,0.24602088927114757,0.11125020156001207,0.23856799159632525,0.10185070658835603
